trip_id,stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
rio,0,3296,00:00:00,00:00:00,,0,1,,,0,0
rio,1,4082,00:00:39,00:00:39,,1,,,,218.29953106179704,0
rio,2,4083,00:01:35,00:01:35,,1,,,,531.6187079807339,0
rio,3,4084,00:02:41,00:02:41,,1,,,,904.0549985463808,0
rio,4,2924,00:03:24,00:03:24,,1,,,,1145.4888120333198,0
rio,5,5560,00:03:56,00:03:56,,1,,,,1327.939828692534,0
rio,6,3827,00:04:23,00:04:23,,1,,,,1482.8834083051077,0
rio,7,3356,00:05:01,00:05:01,,1,,,,1697.3525461630236,0
rio,8,3354,00:06:13,00:06:13,,1,,,,2102.2980814970465,0
rio,9,3351,00:07:18,00:07:18,,1,,,,2467.816032961077,0
rio,10,3360,00:07:58,00:07:58,,1,,,,2690.5354937073394,0
rio,11,3451,00:09:21,00:09:21,,1,,,,3152.7957686622603,0
rio,12,5473,00:10:00,00:10:00,,1,,,,3370.8769874643613,0
rio,13,3452,00:10:57,00:10:57,,1,,,,3691.1794204176986,0
rio,14,3673,00:11:53,00:11:53,,1,,,,4007.2676725257556,0
rio,15,3670,00:12:44,00:12:44,,1,,,,4294.079788875279,0
rio,16,3674,00:13:45,00:13:45,,1,,,,4638.757704850204,0
rio,17,3663,00:14:33,00:14:33,,1,,,,4907.196034300732,0
rio,18,3665,00:15:35,00:15:35,,1,,,,5254.331286393692,0
rio,19,3749,00:16:28,00:16:28,,1,,,,5553.0916692169685,0
rio,20,3661,00:17:43,00:17:43,,1,,,,5970.073463672836,0
rio,21,3667,00:18:38,00:18:38,,1,,,,6280.579086387873,0
rio,22,2906,00:19:00,00:19:00,,1,,,,6407.531615106849,0
rio,23,3750,00:19:51,00:19:51,,1,,,,6692.2178357528965,0
rio,24,3614,00:20:38,00:20:38,,1,,,,6958.235362151829,0
rio,25,3612,00:21:36,00:21:36,,1,,,,7282.178476669351,0
rio,26,3616,00:22:38,00:22:38,,1,,,,7631.736270021759,0
rio,27,4016,00:24:55,00:24:55,,1,,,,8395.990148816541,0
mar,0,3337,00:00:00,00:00:00,,0,1,,,0,0
mar,1,3412,00:01:29,00:01:29,,1,,,,499.00744354884654,0
mar,2,4057,00:02:13,00:02:13,,1,,,,747.2985857348972,0
mar,3,2911,00:02:56,00:02:56,,1,,,,990.6147346206253,0
mar,4,4148,00:03:31,00:03:31,,1,,,,1189.282599858737,0
mar,5,2909,00:04:27,00:04:27,,1,,,,1502.603544263528,0
mar,6,4058,00:04:58,00:04:58,,1,,,,1679.8981880247657,0
mar,7,3063,00:06:09,00:06:09,,1,,,,2075.284805680762,0
mar,8,3951,00:06:58,00:06:58,,1,,,,2350.864421190298,0
mar,9,3789,00:07:27,00:07:27,,1,,,,2515.3602961075153,0
mar,10,3067,00:08:17,00:08:17,,1,,,,2795.990204902598,0
mar,11,3064,00:09:24,00:09:24,,1,,,,3171.898911374992,0
mar,12,4150,00:10:22,00:10:22,,1,,,,3494.9046734429976,0
mar,13,5499,00:11:11,00:11:11,,1,,,,3770.139981450204,0
mar,14,3700,00:11:49,00:11:49,,1,,,,3983.9325408070767,0
mar,15,3701,00:12:35,00:12:35,,1,,,,4243.362438864361,0
mar,16,3704,00:13:18,00:13:18,,1,,,,4486.882309479614,0
mar,17,3357,00:13:58,00:13:58,,1,,,,4713.8499732793025,0
mar,18,3690,00:15:08,00:15:08,,1,,,,5104.8972851732415,0
mar,19,3345,00:16:19,00:16:19,,1,,,,5504.432396096659,0
mar,20,3347,00:17:10,00:17:10,,1,,,,5789.767226281525,0
mar,21,3349,00:18:02,00:18:02,,1,,,,6083.822326401898,0
mar,22,3671,00:21:16,00:21:16,,1,,,,7161.800493702343,0
mar,23,3372,00:22:08,00:22:08,,1,,,,7452.272143189366,0
mar,24,3373,00:22:40,00:22:40,,1,,,,7630.81909499547,0
mar,25,3415,00:24:16,00:24:16,,1,,,,8167.5731516607375,0
mar,26,3763,00:24:37,00:24:37,,1,,,,8287.545861692624,0
mar,27,3419,00:25:27,00:25:27,,1,,,,8570.778324708042,0
mar,28,5372,00:26:00,00:26:00,,1,,,,8758.579517637101,0
mar,29,3801,00:26:47,00:26:47,,1,,,,9023.231738651166,0
gol,0,3504,00:00:00,00:00:00,,0,1,,,0,0
gol,1,3326,00:01:55,00:01:55,,1,,,,574.8926179622063,0
gol,2,3783,00:02:41,00:02:41,,1,,,,805.0244128397214,0
gol,3,3321,00:04:22,00:04:22,,,,,,1309.9931595525713,0
gol,4,3751,00:04:58,00:04:58,,,,,,1490.3924369923384,0
gol,5,3981,00:06:41,00:06:41,,1,,,,2009.4090985260718,0
gol,6,4007,00:07:26,00:07:26,,1,,,,2236.5048260415588,0
gol,7,3957,00:08:06,00:08:06,,,,1,,2438.3644037344898,0
gol,8,3653,00:12:53,00:12:53,,1,,,,3875.9319960920275,0
gol,9,3655,00:14:07,00:14:07,,1,,,,4249.251803128182,0
gol,10,3068,00:14:48,00:14:48,,1,,,,4458.7803993890975,0
gol,11,3651,00:15:44,00:15:44,,1,,,,4740.990940359818,0
gol,12,3786,00:16:51,00:16:51,,1,,,,5077.338598034426,0
gol,13,3646,00:18:26,00:18:26,,1,,,,5553.898268874418,0
gol,14,3500,00:19:44,00:19:44,,1,,,,5945.370209537675,0
gol,15,4049,00:20:04,00:20:04,,1,,,,6045.825993312145,0
gol,16,3658,00:21:05,00:21:05,,1,,,,6351.719642146673,0
gol,17,3660,00:21:58,00:21:58,,1,,,,6618.462118197915,0
gol,18,3657,00:22:41,00:22:41,,1,,,,6837.087157460668,0
gol,19,3659,00:23:40,00:23:40,,1,,,,7134.279297391361,0
gol,20,3794,00:24:24,00:24:24,,1,,,,7355.018816447629,0
gol,21,2898,00:25:15,00:25:15,,1,,,,7611.62852144634,0
gol,22,3953,00:26:38,00:26:38,,1,,,,8030.514146972811,0
gol,23,3744,00:27:57,00:27:57,,1,,,,8429.084341425276,0
gol,24,5513,00:28:50,00:28:50,,1,,,,8696.588427947643,0
gol,25,3461,00:29:09,00:29:09,,1,,,,8793.960516819376,0
gol,26,5507,00:29:29,00:29:29,,1,,,,8898.186578385727,0
gol,27,3885,00:29:57,00:29:57,,1,,,,9042.693070427149,0
gol,28,3695,00:30:28,00:30:28,,1,,,,9198.957241082684,0
gol,29,3697,00:31:24,00:31:24,,1,,,,9479.152972171309,0
gol,30,3501,00:32:54,00:32:54,,1,,,,9929.961192686833,0
gol,31,3673,00:34:18,00:34:18,,1,,,,10352.961080068444,0
gol,32,4044,00:34:40,00:34:40,,1,,,,10466.741710270398,0
gol,33,3362,00:35:27,00:35:27,,1,,,,10706.334521857832,0
gol,34,3364,00:36:17,00:36:17,,1,,,,10957.92192306093,0
